iter	RMSE
0	29.16609256
1	28.19482046
2	27.33228735
3	26.50504741
4	25.74932048
5	24.99432208
6	24.29680041
7	23.61879743
8	23.00179075
9	22.39895565
10	21.82495027
11	21.29115106
12	20.80059106
13	20.28715653
14	19.79820172
15	19.33347119
16	18.89943452
17	18.51558006
18	18.12426826
19	17.75605146
20	17.40428377
21	17.06571905
22	16.76519274
23	16.46558512
24	16.18877875
25	15.92150047
26	15.64950324
27	15.4085277
28	15.16202785
29	14.94305539
30	14.71657251
31	14.50242848
32	14.30968429
33	14.12594636
34	13.96777262
35	13.78505417
36	13.62303786
37	13.46760665
38	13.32525172
39	13.16351176
40	13.0073768
41	12.85744954
42	12.73072414
43	12.60009733
44	12.47217267
45	12.35596996
46	12.23990822
47	12.12885374
48	12.01641569
49	11.90364384
50	11.81104606
51	11.72134257
52	11.63430258
53	11.53159344
54	11.45507021
55	11.35680774
56	11.26973506
57	11.19598708
58	11.12169439
59	11.04846524
60	10.98266336
61	10.91143663
62	10.83351303
63	10.77983218
64	10.72300232
65	10.67238887
66	10.61023313
67	10.55147942
68	10.47190789
69	10.42945802
70	10.37784179
71	10.3231251
72	10.27640519
73	10.22095082
74	10.16940441
75	10.12118281
76	10.08354468
77	10.0373518
78	9.987218048
79	9.941867269
80	9.893403072
81	9.850039557
82	9.809384787
83	9.773967254
84	9.724184944
85	9.689892037
86	9.649580761
87	9.619299089
88	9.587353441
89	9.551721462
90	9.526543992
91	9.493888484
92	9.470448898
93	9.421893648
94	9.38935941
95	9.361615651
96	9.332301732
97	9.298165938
98	9.259884785
99	9.233833082
100	9.213694461
101	9.189788413
102	9.148995063
103	9.135513721
104	9.111069216
105	9.08205433
106	9.046862989
107	9.019201075
108	8.994004334
109	8.969047706
110	8.951552219
111	8.912301925
112	8.885819429
113	8.869334388
114	8.844750874
115	8.813994912
116	8.795841925
117	8.766895654
118	8.749633281
119	8.733327095
120	8.720398001
121	8.702648103
122	8.683600175
123	8.658525549
124	8.639456235
125	8.61998371
126	8.587370587
127	8.553301076
128	8.542357412
129	8.509985831
130	8.487600746
131	8.466351412
132	8.429670957
133	8.413586054
134	8.397816306
135	8.375960793
136	8.363423959
137	8.334558495
138	8.309609149
139	8.287383001
140	8.26753299
141	8.240606231
142	8.226598842
143	8.189322726
144	8.171639219
145	8.151955179
146	8.127591709
147	8.116627351
148	8.097616443
149	8.071504509
150	8.048373674
151	8.032782271
152	8.017805211
153	8.000756363
154	7.986060615
155	7.970223041
156	7.958747212
157	7.947606044
158	7.936084388
159	7.920487032
160	7.902716281
161	7.88230254
162	7.872003106
163	7.857018045
164	7.828806329
165	7.811923904
166	7.793943299
167	7.786495513
168	7.764115796
169	7.747145747
170	7.731737925
171	7.708235518
172	7.69654852
173	7.682918747
174	7.671593587
175	7.653026342
176	7.627719868
177	7.609092682
178	7.602335514
179	7.588156949
180	7.574509587
181	7.549472269
182	7.538436751
183	7.51611107
