iter	Passed	Remaining
0	2	2225
1	4	2117
2	6	2019
3	8	2066
4	10	2129
5	13	2168
6	15	2178
7	17	2179
8	19	2154
9	21	2159
10	24	2161
11	26	2166
12	28	2169
13	31	2190
14	33	2179
15	35	2167
16	37	2141
17	38	2126
18	41	2125
19	43	2120
20	45	2106
21	47	2093
22	49	2084
23	51	2087
24	53	2081
25	55	2070
26	57	2059
27	59	2053
28	61	2053
29	63	2047
30	65	2035
31	67	2034
32	69	2027
33	71	2021
34	73	2021
35	75	2023
36	77	2020
37	79	2016
38	81	2010
39	83	2006
40	85	2005
41	87	2004
42	90	2003
43	92	2008
44	94	2008
45	96	2007
46	99	2009
47	101	2006
48	103	2008
49	105	2000
50	107	1999
51	109	1997
52	111	1996
53	114	1998
54	116	1997
55	118	1989
56	119	1985
57	121	1981
58	123	1974
59	125	1970
60	127	1967
61	129	1961
62	131	1958
63	133	1957
64	136	1956
65	137	1951
66	139	1945
67	141	1943
68	143	1940
69	146	1942
70	148	1940
71	150	1935
72	152	1931
73	154	1928
74	155	1922
75	157	1916
76	159	1915
77	161	1912
78	163	1911
79	166	1914
80	168	1911
81	170	1910
82	172	1905
83	174	1901
84	176	1896
85	178	1894
86	180	1890
87	182	1887
88	184	1883
89	186	1882
90	188	1881
91	190	1879
92	192	1875
93	194	1871
94	196	1867
95	197	1863
96	199	1860
97	201	1858
98	203	1855
99	205	1851
100	207	1846
101	209	1842
102	211	1841
103	213	1840
104	215	1836
105	217	1832
106	219	1834
107	221	1832
108	223	1828
109	225	1827
110	227	1825
111	229	1822
112	232	1821
113	234	1820
114	236	1819
115	238	1817
116	240	1814
117	242	1811
118	244	1807
119	246	1805
120	248	1801
121	249	1798
122	251	1793
123	253	1791
124	255	1788
125	257	1784
126	259	1781
127	260	1777
128	263	1776
129	265	1775
130	268	1777
131	270	1776
132	272	1776
133	274	1773
134	276	1770
135	278	1767
136	280	1765
137	282	1762
138	284	1760
139	286	1757
140	288	1755
141	290	1752
142	291	1749
143	293	1746
144	295	1743
145	297	1742
146	300	1741
147	302	1740
148	304	1737
149	306	1735
150	308	1734
151	310	1733
152	313	1732
153	315	1732
154	317	1730
155	319	1730
156	322	1729
157	324	1727
158	326	1725
159	328	1723
160	330	1721
161	332	1718
162	334	1716
163	336	1714
164	338	1711
165	340	1708
166	342	1707
167	344	1705
168	346	1703
169	348	1702
170	350	1700
171	352	1697
172	354	1694
173	356	1693
174	359	1693
175	361	1693
176	363	1691
177	366	1690
178	368	1688
179	370	1687
180	372	1684
181	374	1682
182	376	1681
183	378	1679
