iter	Passed	Remaining
0	60	60278
1	62	31077
2	64	21391
3	66	16589
4	68	13669
5	70	11685
6	72	10279
7	74	9239
8	76	8439
9	78	7798
10	80	7259
11	82	6806
12	84	6443
13	86	6126
14	89	5855
15	91	5607
16	93	5397
17	95	5198
18	97	5034
19	99	4889
20	101	4753
21	103	4616
22	105	4499
23	108	4393
24	110	4291
25	111	4193
26	113	4101
27	115	4026
28	117	3941
29	119	3864
30	121	3794
31	123	3728
32	125	3671
33	127	3611
34	128	3553
35	130	3505
36	133	3462
37	134	3414
38	136	3370
39	138	3330
40	140	3294
41	142	3256
42	144	3221
43	146	3186
44	148	3148
45	150	3115
46	151	3081
47	153	3048
48	155	3014
49	157	2987
50	159	2960
51	160	2930
52	162	2905
53	164	2883
54	166	2858
55	168	2835
56	170	2813
57	172	2793
58	174	2777
59	175	2756
60	177	2735
61	179	2717
62	181	2699
63	183	2680
64	185	2665
65	187	2647
66	188	2629
67	190	2611
68	192	2594
69	194	2578
70	195	2562
71	198	2555
72	199	2538
73	201	2526
74	203	2511
75	205	2497
76	207	2485
77	209	2472
78	210	2458
79	212	2445
80	214	2434
81	216	2420
82	218	2409
83	219	2397
84	221	2388
85	223	2376
86	225	2366
87	227	2357
88	229	2347
89	231	2336
90	232	2326
91	234	2316
92	236	2305
93	238	2294
94	239	2285
95	241	2276
96	243	2268
97	245	2257
98	247	2249
99	248	2240
100	250	2229
101	252	2222
102	254	2214
103	255	2204
104	257	2195
105	259	2186
106	261	2181
107	263	2173
108	265	2166
109	266	2157
110	268	2149
111	270	2141
112	271	2134
113	273	2125
114	275	2118
115	276	2110
116	278	2103
117	280	2096
118	282	2089
119	283	2082
120	285	2074
121	287	2068
122	289	2062
123	290	2055
124	292	2049
125	294	2042
126	296	2037
127	298	2034
128	300	2028
129	302	2024
130	304	2018
131	305	2011
132	307	2006
133	309	2001
134	311	1995
135	313	1989
136	315	1984
137	317	1982
138	318	1975
139	320	1970
140	322	1964
141	324	1959
142	326	1956
143	328	1952
144	330	1946
145	331	1940
146	333	1935
147	335	1928
148	336	1924
149	338	1920
150	340	1914
151	342	1909
152	343	1903
153	345	1899
154	347	1895
155	349	1890
156	351	1884
157	352	1880
158	354	1875
159	356	1871
160	358	1866
161	360	1863
162	361	1857
163	363	1853
164	365	1849
165	367	1844
166	368	1839
167	370	1834
168	372	1831
169	374	1826
170	375	1822
171	377	1819
172	379	1815
173	381	1811
174	383	1806
175	385	1802
176	386	1798
177	388	1795
178	390	1791
179	392	1787
180	394	1783
181	395	1778
